2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: LED1 ON | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: LED2 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:18 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: LED2 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: LED1 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Reset | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:19 | Gesture: Idle | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: LED2 ON | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:20 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: LED2 ON | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: False | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: LED1 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:21 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: LED2 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:22 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:23 | Gesture: LED2 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: LED1 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:24 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: LED2 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: LED1 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:25 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: LED1 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: LED2 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:26 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: LED1 ON | LED1: True | LED2: True | Brightness: 100 | Color: white
2025-06-11 00:23:27 | Gesture: Idle | LED1: True | LED2: True | Brightness: 100 | Color: white
